College,Citations,H-Index
Brown University,5523.0,33.0
University of Massachusetts - Amherst,2454.0,24.0
Duke University,5442.5,30.0
Yale University,10665.0,43.0
University of North Carolina - Chapel Hill,5634.0,39.5
Rice University,4117.5,26.0
University of Southern California,5597.0,35.0
Johns Hopkins University,5246.5,28.0
