Area,Male,Female
Computational Biology,7,0
Graphics,10,1
Algorithms,31,3
Human Computer Interaction,7,0
Computing,9,1
Knowledge Representation,0,0
Systems,4,1
Multimedia,1,2
Distributed Systems,8,0
Energy Efficient Systems,0,0
Modeling,0,0
Computer Architecture,10,1
Computer Vision,10,0
ML,9,1
Robotics,0,0
Emerging Technology,0,0
Security,13,0
Computer Education,6,1
Networks,14,1
Data Analytics,4,2
Information Retrieval,1,0
Game Design,0,0
Theory,0,0
Database,9,0
Software Engineering,5,0
AI,14,2
Programming Languages,9,2
NLP,1,1
