College,Citations,H-Index
Purdue University,4059.0,30.0
Harvard University,8500.0,43.0
University of Pennsylvania,7997.0,39.0
University of Michigan,4825.0,32.0
University of Maryland - College Park,7573.0,38.0
University of California - San Diego,7803.5,37.5
University of Wisconsin - Madison,5862.0,33.0
California Institute of Technology,11189.0,47.0
University of California - Los Angeles,11279.0,44.5
Columbia University,7911.0,44.0
