Area,Male,Female
Computational Biology,30,9
Graphics,20,3
Algorithms,51,3
Human Computer Interaction,17,8
Computing,21,3
Knowledge Representation,0,0
Systems,51,8
Multimedia,3,2
Distributed Systems,5,1
Energy Efficient Systems,0,0
Modeling,4,1
Computer Architecture,56,6
Computer Vision,20,3
ML,26,9
Robotics,6,4
Emerging Technology,1,2
Security,43,8
Computer Education,5,0
Networks,37,9
Data Analytics,16,5
Information Retrieval,2,2
Game Design,1,0
Theory,31,6
Database,15,3
Software Engineering,25,4
AI,71,19
Programming Languages,39,5
NLP,19,5
